layer,token_pos,token_offset,feature_dim,mean_test_accuracy,std_test_accuracy,mean_test_f1,std_test_f1,mean_test_auroc,std_test_auroc
3,6,-2,896,0.5660425261821643,0.05044012561457286,0.6555511492737564,0.03485091844841136,0.5816327439323729,0.06559916192422667
0,2,-6,896,0.5805775944144715,0.0442777651603762,0.6805708138347144,0.04486061357207948,0.5806886497160259,0.050601496841441676
18,3,-5,896,0.603766000211573,0.023736746685082317,0.7020788391033345,0.019592455168327416,0.5803395940347474,0.03174553021765052
4,4,-4,896,0.5834020945731514,0.019852255244719754,0.6792694039528264,0.014422399491215886,0.579890683433712,0.037480523020364385
16,2,-6,896,0.6023801967629324,0.057676191783547416,0.7002679829738059,0.04289374145070841,0.5782536414741909,0.059106239876053054
7,5,-3,896,0.5950491907331006,0.012098204813646702,0.6947693243025719,0.012144812686717315,0.5779614604411876,0.04078853115108408
21,3,-5,896,0.6051835396170528,0.02518396096436776,0.7011438492659577,0.030666100991981755,0.577592523578034,0.021508552236717247
20,4,-4,896,0.6051729609647731,0.021813981310867866,0.7096148820380458,0.02023542202587992,0.5768033379431732,0.033305179330584335
16,3,-5,896,0.5979688987622976,0.042378329257739066,0.6961275984544159,0.03003951361963627,0.5766511857865264,0.06596856585000432
8,3,-5,896,0.5863323812546282,0.021464692866123257,0.687698669468087,0.016980602051671703,0.575070033146944,0.037028995159739286
18,1,-7,896,0.5834761451391092,0.024976764819464994,0.6869215375846536,0.020002311698194365,0.5744402836149127,0.030142392443327153
6,1,-7,896,0.606622236327092,0.029538684969705596,0.7081941854292364,0.031640983066274844,0.5738275465873215,0.04235203752501108
22,3,-5,896,0.589188617370147,0.03095743497924488,0.6877362471122138,0.031303104642482364,0.5730984784534885,0.030403395214283965
4,3,-5,896,0.6008991854437744,0.02194058387763654,0.702691129503955,0.024357659627586147,0.5726889809859069,0.0260558052592427
18,2,-6,896,0.6096265735745267,0.0484444827536807,0.7075394589498087,0.04792541949981115,0.5715622642695498,0.03728727016237476
18,0,-8,896,0.5892415106315455,0.029794645973472905,0.6899749174623037,0.029204667140020624,0.5712475079923848,0.03364156481940954
21,1,-7,896,0.5993970168200573,0.0389470061878742,0.7025077958104503,0.034263817726285103,0.5698059851088202,0.0270265556555944
21,4,-4,896,0.592150640008463,0.03168650542635803,0.6946892423542874,0.03659652538426899,0.5694687159500461,0.03592212939421657
19,3,-5,896,0.593589336718502,0.028955929841629105,0.6948669048540179,0.02847724745159754,0.5685087941177646,0.03740375813880621
22,1,-7,896,0.5906590500370253,0.024564031503799932,0.6959784675123667,0.01925052323491056,0.5684104608442991,0.011873105273842652
19,1,-7,896,0.6154130963715223,0.018873098376145873,0.7153680907500988,0.014089063508821604,0.5677110024505989,0.030379036482205097
8,2,-6,896,0.618237596530202,0.04262444221732778,0.7167475300987555,0.040038849521906915,0.5674614150412491,0.033763677428849406
4,0,-8,896,0.5863323812546282,0.04346267837349188,0.6833864711275576,0.044390865593077415,0.5657383252311904,0.04478010277453538
19,2,-6,896,0.5980006347191368,0.03471222225762596,0.6999495293612942,0.02481163825675331,0.5649614000742365,0.05383638576214488
2,1,-7,896,0.5864275891251454,0.03383321920326511,0.6911214145152534,0.03645726394719933,0.5633764932089675,0.044661140557847846
3,1,-7,896,0.5849042631968688,0.02802241659611705,0.6896808853496139,0.028544643369916196,0.562639442668359,0.02250893812776987
5,5,-3,896,0.5805775944144715,0.045908043117792875,0.6787561202484887,0.04429671985679747,0.5625323911099936,0.044778732964070395
6,0,-8,896,0.5964561514863007,0.022491185016019537,0.692235672641867,0.025051709107085034,0.561001577523139,0.05543635276323146
1,1,-7,896,0.5907119432984238,0.032569486881417975,0.696542235557021,0.02574099216304962,0.560165295688303,0.05329710688659957
5,1,-7,896,0.600878028139215,0.0198015699555333,0.7050506467935286,0.017587808072112944,0.5600787239923208,0.03257908718523375
3,5,-3,896,0.5689304982545224,0.017714091437111154,0.6750346740112783,0.018903537092401213,0.5593204327661834,0.02161831823822891
7,3,-5,896,0.5689728128636411,0.021631158236493444,0.6729285841089705,0.020939961876098503,0.5585521011690234,0.022837854966413277
4,5,-3,896,0.6096371522268063,0.0260937935705308,0.7097516801925984,0.02645426394198706,0.557870029455081,0.029631797576392487
17,3,-5,896,0.5892415106315456,0.035577981425777644,0.692574453836726,0.027905833226674406,0.5573187819046821,0.048969098851252106
7,0,-8,896,0.5863535385591876,0.023844540367425112,0.6839098877056117,0.012440005004715598,0.5570346082234754,0.05073259127793011
23,1,-7,896,0.5935681794139427,0.026655852829564734,0.6988718475306835,0.019348145493907516,0.5565172734293616,0.03413655760516033
17,1,-7,896,0.5848831058923093,0.025619552105976925,0.6860816258331284,0.022908094038905705,0.5564740437076683,0.020630346322081883
20,1,-7,896,0.5863641172114673,0.02812418618282444,0.6876749197010161,0.023081045963201187,0.5562202655347614,0.027350062327244518
22,2,-6,896,0.5733312176028773,0.013702299253825719,0.6749986848811499,0.016020812032913348,0.5562189559211498,0.04449307747262135
3,4,-4,896,0.5863112239500687,0.027824699117270795,0.6894453499946418,0.025506147584747296,0.5532055599458793,0.0338282059681021
2,0,-8,896,0.5877181847032688,0.036486224116724836,0.6888111839601844,0.030214079650633066,0.5526846704862483,0.04623671013105083
5,0,-8,896,0.5907648365598223,0.021809168747121136,0.6881130868397356,0.024724409365043245,0.5514987218171151,0.02692937400357907
19,0,-8,896,0.5892415106315455,0.04131436273568921,0.6914409227107166,0.03556849772888151,0.5505552138087655,0.03534698212010454
0,1,-7,896,0.5907119432984238,0.03256948688141799,0.6961768978393019,0.02940538932908798,0.5492537447465785,0.025624612323464524
7,2,-6,896,0.5689939701682005,0.039831001393167816,0.6727113974177735,0.040203807159618514,0.5482076503386536,0.04325938330501585
20,0,-8,896,0.5891886173701469,0.03684343367414077,0.6933186515096523,0.026707382064454055,0.5481260925919275,0.04371671848568806
23,2,-6,896,0.5893261398497831,0.02796933246407288,0.6948031702348866,0.01825308400509328,0.5467848611659901,0.036833293157666064
